node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
185.241.42.81:8443,185.241.42.81,8443,HK,HKG,350.09,41.0,376.48,500,350.09,-3.61,above_30mbps_reward,30.0
77.93.90.231:443,77.93.90.231,443,SG,,350.14,36.96,377.73,500,350.14,-2.41,above_30mbps_reward,30.0
5.34.176.69:8443,5.34.176.69,8443,SG,SIN,352.1,36.9,379.71,500,352.1,-2.39,above_30mbps_reward,30.0
217.216.109.249:443,217.216.109.249,443,SG,,350.4,28.89,380.96,500,350.4,0.55,below_30mbps,30.0
91.149.237.61:443,91.149.237.61,443,HK,,352.56,29.05,383.04,500,352.56,0.47,below_30mbps,30.0
194.233.67.84:443,194.233.67.84,443,SG,,364.2,13.47,398.79,500,364.2,4.59,below_15mbps,30.0
194.127.192.165:443,194.127.192.165,443,SG,,384.63,35.27,412.76,500,384.63,-1.87,above_30mbps_reward,30.0
5.34.176.72:8443,5.34.176.72,8443,SG,SIN,387.37,35.01,415.59,500,387.37,-1.78,above_30mbps_reward,30.0
69.161.221.136:8443,69.161.221.136,8443,SG,,390.12,36.12,417.98,500,390.12,-2.14,above_30mbps_reward,30.0
165.22.57.237:8443,165.22.57.237,8443,SG,SIN,382.27,15.66,419.44,500,382.27,7.17,below_30mbps,30.0
188.253.125.246:8443,188.253.125.246,8443,SG,SIN,392.13,36.59,419.84,500,392.13,-2.29,above_30mbps_reward,30.0
219.76.13.183:443,219.76.13.183,443,HK,HKG,377.59,10.88,419.95,500,377.59,12.36,below_15mbps,30.0
168.144.129.207:8443,168.144.129.207,8443,SG,SIN,388.86,14.21,421.23,500,388.86,2.37,below_15mbps,30.0
167.71.198.82:8443,167.71.198.82,8443,SG,SIN,388.75,13.27,423.94,500,388.75,5.19,below_15mbps,30.0
194.87.10.77:443,194.87.10.77,443,SG,,389.4,20.18,424.31,500,389.4,4.91,below_30mbps,30.0
85.121.51.114:8443,85.121.51.114,8443,HK,HKG,396.82,34.98,425.05,500,396.82,-1.77,above_30mbps_reward,30.0
175.99.220.91:443,175.99.220.91,443,TW,TPE,413.26,40.51,439.79,500,413.26,-3.47,above_30mbps_reward,30.0
154.12.188.210:2096,154.12.188.210,2096,HK,HKG,573.58,126.91,586.93,500,573.58,-16.65,above_30mbps_reward,30.0
