node,ip,port,country,colo,latency_ms,speed_mbps,score,stability
18.181.221.23:443,18.181.221.23,443,JP,NRT,77.76,107.63,93.02,500
18.180.0.203:443,18.180.0.203,443,JP,NRT,79.27,114.53,93.81,500
103.117.103.29:443,103.117.103.29,443,JP,NRT,91.59,312.94,94.53,500
13.231.33.243:443,13.231.33.243,443,JP,NRT,81.19,111.3,94.72,95.14
43.133.182.111:443,43.133.182.111,443,JP,NRT,67.62,36.63,95.32,500
18.181.108.44:443,18.181.108.44,443,JP,NRT,81.73,112.84,96.44,500
3.115.100.16:443,3.115.100.16,443,JP,NRT,82.57,114.86,97.08,99.54
54.248.55.203:443,54.248.55.203,443,JP,NRT,81.77,106.93,97.1,500
43.133.237.158:8443,43.133.237.158,8443,KR,ICN,91.06,33.27,97.56,23.91
202.144.195.86:443,202.144.195.86,443,JP,NRT,71.87,43.13,97.68,500
47.245.62.50:443,47.245.62.50,443,JP,NRT,77.59,67.71,98.19,500
20.78.144.137:443,20.78.144.137,443,JP,KIX,84.57,114.29,99.13,500
13.159.223.80:443,13.159.223.80,443,JP,NRT,86.46,106.04,101.89,500
54.238.236.208:443,54.238.236.208,443,JP,NRT,81.07,66.22,101.93,500
54.64.107.127:443,54.64.107.127,443,JP,NRT,89.13,132.93,101.95,500
3.112.34.29:443,3.112.34.29,443,JP,NRT,86.37,103.86,102.04,500
54.150.9.209:443,54.150.9.209,443,JP,NRT,81.6,62.62,103.11,500
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,74.22,32.35,103.35,500
13.113.194.44:443,13.113.194.44,443,JP,NRT,89.57,116.47,103.91,500
13.193.152.12:443,13.193.152.12,443,JP,NRT,89.95,116.41,104.3,500
138.2.122.191:443,138.2.122.191,443,KR,ICN,100.01,32.41,106.67,26.09
43.163.225.175:443,43.163.225.175,443,JP,NRT,77.76,30.95,107.4,500
43.167.203.4:443,43.167.203.4,443,JP,NRT,80.8,39.1,107.74,500
13.193.114.134:443,13.193.114.134,443,JP,NRT,93.87,114.83,108.38,500
43.133.1.62:443,43.133.1.62,443,JP,NRT,82.98,42.91,108.85,500
13.193.115.77:443,13.193.115.77,443,JP,NRT,95.67,117.79,109.88,500
43.133.219.217:443,43.133.219.217,443,JP,NRT,85.75,43.85,111.37,500
202.144.195.119:443,202.144.195.119,443,JP,NRT,94.32,86.6,112.08,500
3.35.238.2:443,3.35.238.2,443,KR,ICN,97.25,76.32,116.47,500
54.199.39.232:443,54.199.39.232,443,JP,NRT,101.09,101.06,117.07,500
45.32.108.81:8443,45.32.108.81,8443,SG,SIN,99.47,80.79,118.04,500
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,99.76,57.47,118.11,80.39
52.141.39.15:443,52.141.39.15,443,KR,,104.93,73.9,121.84,90.47
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,103.42,62.77,124.9,500
54.180.151.15:443,54.180.151.15,443,KR,ICN,101.33,37.23,125.14,89.34
139.180.220.7:443,139.180.220.7,443,SG,SIN,106.7,78.11,125.66,109.21
168.138.191.251:443,168.138.191.251,443,SG,,121.49,44.46,127.44,32.77
103.118.42.136:8443,103.118.42.136,8443,TW,TPE,98.02,30.69,127.76,500
45.76.176.213:8443,45.76.176.213,8443,SG,SIN,112.43,57.14,134.99,500
188.239.9.91:443,188.239.9.91,443,SG,,121.31,35.55,143.2,91.87
139.180.143.248:8443,139.180.143.248,8443,SG,SIN,123.55,68.22,144.07,116.0
115.163.106.137:443,115.163.106.137,443,JP,NRT,122.22,56.71,144.87,74.54
185.239.224.185:443,185.239.224.185,443,JP,,120.44,32.51,149.52,500
142.248.136.72:443,142.248.136.72,443,JP,NRT,135.94,79.5,154.69,500
